ISBN,Rating,Price,Pages,Rating Count,Language_Dummy,Size_Dummy,Famous_Dummy,Categories_Dummy,Serie_Dummy
9.78E+12,4.14,6.76,297,19210,English,Other,Famous,Other,Other
9.78E+12,4.08,1.62,291,89841,English,Big,Other,Top_Category,Other
9.78E+12,4.16,14.57,340,123044,English,Big,Famous,Top_Category,Other
9.78E+12,4.13,1.85,112,73875,English,Big,Famous,Top_Category,Other
9.78E+12,4.03,3.35,267,134961,English,Big,Famous,Other,Other
9.78E+12,3.96,2.9,120,65713,English,Big,Famous,Top_Category,Other
9.78E+12,3.83,3.79,222,137905,English,Big,Famous,Other,Other
9.78E+12,3.97,4.68,180,35497,English,Other,Other,Top_Category,Other
9.78E+12,3.23,3.1,170,74477,English,Other,Other,Other,Other
9.78E+12,4.25,1.86,624,171922,English,Big,Famous,Top_Category,Serie
9.78E+12,3.92,5.46,402,145883,English,Other,Famous,Top_Category,Other
9.78E+12,4.11,6.95,558,24035,English,Big,Famous,Top_Category,Other
9.78E+12,3.98,14.49,400,323142,English,Big,Famous,Top_Category,Other
9.78E+12,4.25,7.07,347,9904,English,Big,Other,Top_Category,Other
9.78E+12,3.76,2.49,448,96220,English,Big,Famous,Other,Other
9.78E+12,3.78,3.72,283,210665,English,Other,Famous,Top_Category,Serie
9.78E+12,3.71,3.17,561,41709,English,Big,Famous,Top_Category,Other
9.78E+12,4.05,4.62,723,46550,English,Big,Other,Top_Category,Other
9.78E+12,3.84,3.17,322,439930,English,Big,Famous,Top_Category,Serie
9.78E+12,4.19,1.12,499,68751,English,Big,Famous,Top_Category,Other
9.78E+12,4.28,3.54,803,95929,English,Other,Other,Top_Category,Serie
9.78E+12,4.16,3.74,475,64088,English,Other,Famous,Top_Category,Other
9.78E+12,3.59,3.14,419,75255,English,Big,Famous,Top_Category,Other
9.78E+12,4.1,2.86,380,68128,English,Other,Other,Other,Serie
9.78E+12,4.13,11.67,208,52092,English,Big,Other,Top_Category,Other
9.78E+12,3.94,3.26,160,36230,English,Big,Famous,Other,Other
9.78E+12,3.96,6.83,152,49487,English,Big,Famous,Top_Category,Other
9.78E+12,3.78,1.41,96,288074,English,Other,Other,Other,Other
9.78E+12,4.15,4.37,278,103375,English,Big,Other,Top_Category,Serie
9.78E+12,4.05,7.86,306,95008,English,Big,Other,Top_Category,Other
9.78E+12,4.04,3.43,501,49170,English,Other,Famous,Other,Serie
9.78E+12,4.31,6.55,378,60280,English,Big,Famous,Top_Category,Serie
9.78E+12,4.23,5.15,1007,137790,English,Other,Famous,Top_Category,Serie
9.78E+12,3.58,3.48,208,51555,English,Big,Famous,Top_Category,Other
9.78E+12,4.36,5.04,200,62334,English,Big,Famous,Top_Category,Other
9.78E+12,4.29,8.97,352,59901,English,Big,Famous,Other,Serie
9.78E+12,4.06,8.28,134,26016,English,Big,Other,Top_Category,Other
9.78E+12,4.14,26.41,186,56781,English,Other,Other,Top_Category,Other
9.78E+12,4.13,9.11,229,140443,English,Big,Other,Other,Other
9.78E+12,4.16,4.37,32,114747,English,Other,Other,Top_Category,Serie
9.78E+12,4.25,43.89,233,158629,English,Big,Other,Top_Category,Serie
9.78E+12,3.63,5.68,192,101659,English,Big,Other,Top_Category,Other
9.78E+12,4.16,4.35,336,75417,English,Other,Other,Top_Category,Other
9.78E+12,3.99,5.46,512,45903,English,Big,Other,Top_Category,Other
9.78E+12,4.35,5.34,580,17365,English,Big,Famous,Top_Category,Other
9.78E+12,3.87,4.17,291,49265,English,Other,Famous,Top_Category,Other
9.78E+12,4.3,18,1258,22974,English,Other,Famous,Top_Category,Serie
9.78E+12,3.9,6.45,432,95447,English,Big,Famous,Top_Category,Serie
9.78E+12,3.92,3.11,432,44929,English,Big,Famous,Other,Serie
9.78E+12,3.98,3.65,359,75018,English,Big,Other,Top_Category,Other
9.78E+12,4.27,15.19,459,47399,English,Big,Famous,Other,Other
9.78E+12,4.11,3.11,489,43540,English,Other,Famous,Other,Serie
9.78E+12,4.27,9.83,390,72982,English,Big,Famous,Top_Category,Serie
9.78E+12,3.99,4.97,222,24309,English,Big,Famous,Top_Category,Other
9.78E+12,4.07,6.62,59,26629,English,Other,Other,Top_Category,Other
9.78E+12,4.16,5.92,506,8672,English,Big,Other,Top_Category,Other
9.78E+12,4.04,3.28,370,86130,English,Big,Other,Top_Category,Other
9.78E+12,4.19,3.04,528,132188,English,Other,Other,Top_Category,Serie
9.78E+12,4.31,16.76,433,63910,English,Big,Other,Top_Category,Other
9.78E+12,4.43,5.39,432,77632,English,Other,Famous,Top_Category,Other
9.78E+12,3.97,7.57,378,28033,English,Big,Other,Other,Other
9.78E+12,3.81,5.26,240,127855,English,Big,Famous,Top_Category,Serie
9.78E+12,3.85,12.8,354,17583,English,Other,Famous,Top_Category,Other
9.78E+12,3.82,1.91,224,43921,English,Other,Famous,Top_Category,Other
9.78E+12,4.05,3.61,64,13312,English,Big,Other,Other,Other
9.78E+12,4.33,3.82,314,8401,English,Big,Other,Top_Category,Serie
9.78E+12,4.23,8.89,159,35090,English,Big,Famous,Top_Category,Other
9.78E+12,3.54,3.83,368,126108,English,Big,Other,Other,Other
9.78E+12,4.02,3.42,240,43587,English,Big,Famous,Top_Category,Other
9.78E+12,3.61,3.35,262,63149,English,Big,Famous,Top_Category,Other
9.78E+12,4.37,3.92,720,22137,English,Big,Famous,Top_Category,Serie
9.78E+12,4.31,5.3,187,27701,English,Big,Famous,Top_Category,Serie
9.78E+12,4.07,3.16,179,31450,English,Big,Other,Top_Category,Other
9.78E+12,3.6,3.28,356,102707,English,Big,Other,Top_Category,Other
